p2_points_won,p2_trend*server,p1_points_won,game_no*server,p1_place_ge*server,p2_games,elapsed_time,p1_games*server,p2_trend,return_depth_ND,point_no_to_start*server,server,rally_count,point_no_to_start,serve_width_BW,p1_trend,p2_games*server,p2_distance_run,speed_mph,p1_distance_run,point_no,game_no,p2_winner,serve_depth_NCTL,p1_games,past_time,past_time*server,p1_unf_err,last_time,serve_no,set_no*server,p1_trend*server
1,0.0,0,1.0,0.0,0,0.0,0.0,0.0,1,0.0,1,2.0,0,0,0.0,0.0,7.84,95.0,6.0,1,1,0.0,1,0,0.0,0.0,1.0,0.0,2,1.0,0.0
1,0.0,1,1.0,0.0,0,0.6333333333333333,0.0,0.0,1,1.0,1,2.0,1,0,0.0,0.0,7.84,95.0,6.0,2,1,0.0,1,0,0.6333333333333333,0.6333333333333333,1.0,0.0,1,1.0,0.0
2,-1.0,1,1.0,0.0,0,1.0166666666666666,0.0,-1.0,1,2.0,1,1.0,2,0,1.0,0.0,7.094,118.0,5.253,3,1,0.0,0,0,1.0166666666666666,1.0166666666666666,0.0,0.6333333333333333,1,1.0,1.0
2,-1.0,2,1.0,0.0,0,1.5166666666666666,0.0,-1.0,0,3.0,1,4.0,3,0,1.0,0.0,19.808,120.0,13.8,4,1,0.0,1,0,1.5166666666666666,1.5166666666666666,1.0,0.3833333333333333,1,1.0,1.0
2,-2.0,3,1.0,0.0,0,2.35,0.0,-2.0,0,4.0,1,13.0,4,1,2.0,0.0,75.631,130.0,51.108,5,1,0.0,0,0,2.35,2.35,0.0,0.5,1,1.0,2.0
3,-3.0,3,1.0,1.0,0,2.8333333333333335,0.0,-3.0,0,5.0,1,1.0,5,0,3.0,0.0,0.813,112.0,0.649,6,1,0.0,1,0,2.8333333333333335,2.8333333333333335,0.0,0.8333333333333335,2,1.0,3.0
3,-3.0,4,1.0,0.0,0,3.55,0.0,-3.0,1,6.0,1,2.0,6,1,3.0,0.0,4.249,97.0,5.291,7,1,0.0,1,0,3.55,3.55,0.0,0.4833333333333334,1,1.0,3.0
4,-4.0,4,1.0,1.0,0,4.016666666666667,0.0,-4.0,0,7.0,1,1.0,7,0,4.0,0.0,17.821,109.0,6.817,8,1,0.0,0,0,4.016666666666667,4.016666666666667,0.0,0.7166666666666663,2,1.0,4.0
4,-4.0,5,1.0,0.0,0,4.8,0.0,-4.0,1,8.0,1,6.0,8,0,4.0,0.0,18.067,105.0,17.503,9,1,1.0,1,0,4.8,4.8,0.0,0.4666666666666668,1,1.0,4.0
4,-5.0,6,1.0,1.0,0,5.533333333333333,0.0,-5.0,0,9.0,1,7.0,9,0,5.0,0.0,24.594,128.0,34.489,10,1,0.0,0,0,5.533333333333333,5.533333333333333,0.0,0.7833333333333332,1,1.0,5.0
5,6.0,6,-2.0,-0.0,0,7.083333333333333,-1.0,-6.0,1,-0.0,-1,5.0,0,0,6.0,-0.0,27.427,110.0,21.235,11,2,0.0,1,1,0.0,-0.0,0.0,0.7333333333333334,1,-1.0,-6.0
5,6.0,7,-2.0,-0.0,0,7.466666666666667,-1.0,-6.0,0,-1.0,-1,1.0,1,0,6.0,-0.0,4.915,112.0,5.785,12,2,1.0,0,1,0.38333333333333375,-0.38333333333333375,0.0,1.5499999999999998,1,-1.0,-6.0
5,7.0,8,-2.0,-0.0,0,8.1,-1.0,-7.0,0,-2.0,-1,4.0,2,0,7.0,-0.0,18.244,130.0,19.744,13,2,0.0,1,1,1.0166666666666666,-1.0166666666666666,0.0,0.38333333333333375,1,-1.0,-7.0
6,8.0,8,-2.0,-1.0,0,8.683333333333334,-1.0,-8.0,0,-3.0,-1,4.0,3,0,8.0,-0.0,18.626,120.0,26.013,14,2,0.0,1,1,1.6000000000000005,-1.6000000000000005,0.0,0.6333333333333329,1,-1.0,-8.0
7,8.0,8,-2.0,-0.0,0,9.183333333333334,-1.0,-8.0,1,-4.0,-1,3.0,4,0,8.0,-0.0,7.112,128.0,10.667,15,2,1.0,1,1,2.1000000000000005,-2.1000000000000005,0.0,0.5833333333333339,1,-1.0,-8.0
7,8.0,9,-2.0,-0.0,0,9.616666666666667,-1.0,-8.0,1,-5.0,-1,1.0,5,0,8.0,-0.0,2.237,130.0,3.399,16,2,0.0,1,1,2.533333333333334,-2.533333333333334,0.0,0.5,2,-1.0,-8.0
8,9.0,9,-2.0,-0.0,0,10.333333333333334,-1.0,-9.0,0,-6.0,-1,2.0,6,1,9.0,-0.0,4.307,97.0,5.3,17,2,0.0,1,1,3.250000000000001,-3.250000000000001,0.0,0.43333333333333357,1,-1.0,-9.0
9,9.0,9,-2.0,-1.0,0,10.75,-1.0,-9.0,0,-7.0,-1,1.0,7,0,9.0,-0.0,5.499,124.0,5.245,18,2,0.0,1,1,3.666666666666667,-3.666666666666667,0.0,0.7166666666666668,1,-1.0,-9.0
9,-9.0,10,3.0,0.0,1,11.4,1.0,-9.0,1,0.0,1,3.0,0,0,9.0,1.0,16.594,116.0,15.194,19,3,1.0,1,1,0.0,0.0,0.0,0.4166666666666661,1,1.0,9.0
9,-10.0,11,3.0,1.0,1,11.783333333333333,1.0,-10.0,1,1.0,1,1.0,1,0,10.0,1.0,1.073,126.0,0.899,20,3,0.0,0,1,0.38333333333333286,0.38333333333333286,0.0,0.6500000000000004,1,1.0,10.0
10,-11.0,11,3.0,1.0,1,12.283333333333333,1.0,-11.0,0,2.0,1,5.0,2,0,11.0,1.0,34.756,127.0,18.088,21,3,0.0,0,1,0.8833333333333329,0.8833333333333329,0.0,0.38333333333333286,1,1.0,11.0
10,-11.0,12,3.0,1.0,1,12.733333333333333,1.0,-11.0,0,3.0,1,2.0,3,1,11.0,1.0,10.818,114.0,7.288,22,3,0.0,1,1,1.3333333333333321,1.3333333333333321,0.0,0.5,1,1.0,11.0
10,-12.0,13,3.0,1.0,1,13.433333333333334,1.0,-12.0,1,4.0,1,9.0,4,0,12.0,1.0,32.944,127.0,42.166,23,3,0.0,1,1,2.033333333333333,2.033333333333333,0.0,0.4499999999999993,2,1.0,12.0
11,13.0,13,-4.0,-0.0,1,15.516666666666667,-2.0,-13.0,0,-0.0,-1,1.0,0,0,13.0,-1.0,4.479,103.0,3.782,24,4,0.0,1,2,0.0,-0.0,0.0,0.7000000000000011,2,-1.0,-13.0
12,13.0,13,-4.0,-0.0,1,16.25,-2.0,-13.0,1,-1.0,-1,3.0,1,0,13.0,-1.0,13.713,107.0,12.601,25,4,0.0,1,2,0.7333333333333325,-0.7333333333333325,1.0,2.083333333333334,1,-1.0,-13.0
13,13.0,13,-4.0,-0.0,1,16.783333333333335,-2.0,-13.0,1,-2.0,-1,3.0,2,1,13.0,-1.0,13.976,111.0,14.925,26,4,0.0,1,2,1.2666666666666675,-1.2666666666666675,0.0,0.7333333333333325,1,-1.0,-13.0
