elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,server,serve_no,p1_points_won,p2_points_won,p1_ace,p2_ace,p1_winner,p2_winner,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,p1_trend,p2_trend,past_time,point_no_to_start,p1_place_ge,p1_place_le,last_time,serve_width_BC,serve_width_BW,serve_width_C,serve_width_W,serve_depth_NCTL,return_depth_ND,p1_break_pt*server,p2_break_pt*server,p1_place_ge*server,p1_place_le*server,p1_sets*server,p2_sets*server,p1_games*server,p2_games*server,past_time*server,p2_trend*server,p1_trend*server,set_no*server,game_no*server,point_no_to_start*server,factor
0,1,1,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,7.84,2,95,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-4.315244
0.633333333,1,1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,7.84,2,95,0,0,0.633333333,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0.633333333,0,0,1,1,1,3.663135
1.016666667,1,1,3,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.253,7.094,1,118,1,-1,1.016666667,2,0,0,0.633333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.016666667,-1,1,1,1,2,-4.645049
1.516666667,1,1,4,0,0,0,0,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.8,19.808,4,120,1,-1,1.516666667,3,0,1,0.383333333,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.516666667,-1,1,1,1,3,4.196409
2.35,1,1,5,0,0,0,0,1,1,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.108,75.631,13,130,2,-2,2.35,4,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.35,-2,2,1,1,4,4.970301
2.833333333,1,1,6,0,0,0,0,1,2,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649,0.813,1,112,3,-3,2.833333333,5,1,0,0.833333333,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2.833333333,-3,3,1,1,5,-3.645954
3.55,1,1,7,0,0,0,0,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.249,2,97,3,-3,3.55,6,0,0,0.483333333,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3.55,-3,3,1,1,6,4.123788
4.016666667,1,1,8,0,0,0,0,1,2,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.817,17.821,1,109,4,-4,4.016666667,7,1,0,0.716666667,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4.016666667,-4,4,1,1,7,-6.008893
4.8,1,1,9,0,0,0,0,1,1,5,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.503,18.067,6,105,4,-4,4.8,8,0,0,0.466666667,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4.8,-4,4,1,1,8,4.224612
5.533333333,1,1,10,0,0,0,0,1,1,6,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34.489,24.594,7,128,5,-5,5.533333333,9,1,0,0.783333333,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.533333333,-5,5,1,1,9,7.444492
7.083333333,1,2,11,0,0,1,0,-1,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.235,27.427,5,110,6,-6,0,0,0,0,0.733333333,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,6,-6,-1,-2,0,-5.098412
7.466666667,1,2,12,0,0,1,0,-1,1,7,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.785,4.915,1,112,6,-6,0.383333333,1,0,1,1.55,0,0,0,1,0,0,0,0,0,-1,0,0,-1,0,-0.383333333,6,-6,-1,-2,-1,3.956457
8.1,1,2,13,0,0,1,0,-1,1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.744,18.244,4,130,7,-7,1.016666667,2,0,0,0.383333333,0,0,0,1,1,0,0,0,0,0,0,0,-1,0,-1.016666667,7,-7,-1,-2,-2,3.229356
8.683333333,1,2,14,0,0,1,0,-1,1,8,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.013,18.626,4,120,8,-8,1.6,3,1,0,0.633333333,0,0,1,0,1,0,0,0,-1,0,0,0,-1,0,-1.6,8,-8,-1,-2,-3,-9.88038
9.183333333,1,2,15,0,0,1,0,-1,1,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.667,7.112,3,128,8,-8,2.1,4,0,0,0.583333333,0,0,0,1,1,1,0,0,0,0,0,0,-1,0,-2.1,8,-8,-1,-2,-4,-3.840382
9.616666667,1,2,16,0,0,1,0,-1,2,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.399,2.237,1,130,8,-8,2.533333333,5,0,1,0.5,0,0,1,0,1,1,0,0,0,-1,0,0,-1,0,-2.533333333,8,-8,-1,-2,-5,4.536342
10.33333333,1,2,17,0,0,1,0,-1,1,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,4.307,2,97,9,-9,3.25,6,0,0,0.433333333,0,1,0,0,1,0,0,0,0,0,0,0,-1,0,-3.25,9,-9,-1,-2,-6,-6.542241
10.75,1,2,18,0,0,1,0,-1,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.245,5.499,1,124,9,-9,3.666666667,7,1,0,0.716666667,1,0,0,0,1,0,0,0,-1,0,0,0,-1,0,-3.666666667,9,-9,-1,-2,-7,-3.094044
11.4,1,3,19,0,0,1,1,1,1,10,9,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15.194,16.594,3,116,9,-9,0,0,0,0,0.416666667,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,-9,9,1,3,0,5.897009
11.78333333,1,3,20,0,0,1,1,1,1,11,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899,1.073,1,126,10,-10,0.383333333,1,1,0,0.65,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0.383333333,-10,10,1,3,1,3.446584
12.28333333,1,3,21,0,0,1,1,1,1,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.088,34.756,5,127,11,-11,0.883333333,2,1,0,0.383333333,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0.883333333,-11,11,1,3,2,-3.002243
12.73333333,1,3,22,0,0,1,1,1,1,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.288,10.818,2,114,11,-11,1.333333333,3,1,0,0.5,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1.333333333,-11,11,1,3,3,4.852554
13.43333333,1,3,23,0,0,1,1,1,2,13,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.166,32.944,9,127,12,-12,2.033333333,4,1,0,0.45,0,0,0,0,1,1,0,0,1,0,0,0,1,1,2.033333333,-12,12,1,3,4,3.974046
15.51666667,1,4,24,0,0,2,1,-1,2,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.782,4.479,1,103,13,-13,0,0,0,0,0.7,1,0,0,0,1,0,0,0,0,0,0,0,-2,-1,0,13,-13,-1,-4,0,-2.047728
16.25,1,4,25,0,0,2,1,-1,1,13,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.601,13.713,3,107,13,-13,0.733333333,1,0,1,2.083333333,1,0,0,0,1,1,0,0,0,-1,0,0,-2,-1,-0.733333333,13,-13,-1,-4,-1,-5.366296
16.78333333,1,4,26,0,0,2,1,-1,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.925,13.976,3,111,13,-13,1.266666667,2,0,1,0.733333333,0,1,0,0,1,1,0,0,0,-1,0,0,-2,-1,-1.266666667,13,-13,-1,-4,-2,-4.389519
17.13333333,1,4,27,0,0,2,1,-1,1,13,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903,1.067,1,125,13,-13,1.616666667,3,0,1,0.533333333,0,0,1,0,1,1,0,0,0,-1,0,0,-2,-1,-1.616666667,13,-13,-1,-4,-3,-3.861136
17.81666667,1,5,28,0,0,2,2,1,1,14,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.027,7.402,3,126,13,-13,0,0,0,0,0.35,0,0,0,1,1,1,0,0,0,0,0,0,2,2,0,-13,13,1,5,0,5.374346
18.41666667,1,5,29,0,0,2,2,1,1,15,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.352,29.366,5,116,14,-14,0.6,1,1,0,0.683333333,0,0,0,1,0,1,0,0,1,0,0,0,2,2,0.6,-14,14,1,5,1,3.783847
18.83333333,1,5,30,0,0,2,2,1,1,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.285,8.276,1,129,15,-15,1.016666667,2,1,0,0.6,0,0,1,0,1,1,0,0,1,0,0,0,2,2,1.016666667,-15,15,1,5,2,2.96558
19.33333333,1,5,31,0,0,2,2,1,2,16,15,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11.974,12.523,3,110,16,-16,1.516666667,3,1,0,0.416666667,1,0,0,0,1,1,0,0,1,0,0,0,2,2,1.516666667,-16,16,1,5,3,-2.145542
20.05,1,5,32,0,0,2,2,1,2,16,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.609,6.965,2,113,16,-16,2.233333333,4,1,0,0.5,1,0,0,0,1,1,0,0,1,0,0,0,2,2,2.233333333,-16,16,1,5,4,-1.254635
20.91666667,1,5,33,0,0,2,2,1,1,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.518,12.74,2,104,16,-16,3.1,5,1,0,0.716666667,1,0,0,0,1,0,0,0,1,0,0,0,2,2,3.1,-16,16,1,5,5,-1.60325
21.45,1,5,34,0,0,2,2,1,2,17,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.859,11.439,2,111,16,-16,3.633333333,6,0,0,0.866666667,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3.633333333,-16,16,1,5,6,4.414572
22.31666667,1,5,35,0,0,2,2,1,1,18,17,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,30.782,25.6,5,97,17,-17,4.5,7,1,0,0.533333333,0,0,1,0,0,0,0,0,1,0,0,0,2,2,4.5,-17,17,1,5,7,4.965173
24.36666667,1,6,36,0,0,3,2,-1,1,18,18,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6.824,9.574,1,114,18,-18,0,0,0,0,0.866666667,0,0,1,0,1,0,0,0,0,0,0,0,-3,-2,0,18,-18,-1,-6,0,-1.988796
24.88333333,1,6,37,0,0,3,2,-1,2,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.809,6.11,1,110,18,-18,0.516666667,1,0,1,2.05,0,0,0,1,0,1,0,0,0,-1,0,0,-3,-2,-0.516666667,18,-18,-1,-6,-1,5.686224
26.08333333,1,6,38,0,0,3,2,-1,1,19,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29.094,29.593,6,90,19,-19,1.716666667,2,0,0,0.516666667,0,1,0,0,1,1,0,0,0,0,0,0,-3,-2,-1.716666667,19,-19,-1,-6,-2,-5.746742
26.5,1,6,39,0,0,3,2,-1,1,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.815,5.189,1,125,19,-19,2.133333333,3,0,1,1.2,0,0,1,0,1,0,0,0,0,-1,0,0,-3,-2,-2.133333333,19,-19,-1,-6,-3,-2.586816
26.93333333,1,6,40,0,0,3,2,-1,2,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.678,2.617,1,127,19,-19,2.566666667,4,0,1,0.416666667,0,0,0,0,1,1,0,0,0,-1,0,0,-3,-2,-2.566666667,19,-19,-1,-6,-4,-3.342587
27.7,1,7,41,0,0,3,3,1,2,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.043,4.667,1,111,19,-19,0,0,0,0,0.433333333,0,1,0,0,1,1,0,0,0,0,0,0,3,3,0,-19,19,1,7,0,4.688749
28.61666667,1,7,42,0,0,3,3,1,1,21,21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34.233,32.677,9,107,20,-20,0.916666667,1,1,0,0.766666667,0,1,0,0,1,1,0,0,1,0,0,0,3,3,0.916666667,-20,20,1,7,1,4.411448
29.1,1,7,43,0,0,3,3,1,1,22,21,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9.872,19.138,3,120,21,-21,1.4,2,1,0,0.916666667,0,0,1,0,1,1,0,0,1,0,0,0,3,3,1.4,-21,21,1,7,2,3.428351
29.53333333,1,7,44,0,0,3,3,1,2,22,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.277,11.043,3,115,22,-22,1.833333333,3,1,0,0.483333333,0,0,0,1,0,1,0,0,1,0,0,0,3,3,1.833333333,-22,22,1,7,3,-1.778406
30.28333333,1,7,45,0,0,3,3,1,2,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.076,18.664,6,104,22,-22,2.583333333,4,1,0,0.433333333,0,1,0,0,1,0,0,0,1,0,0,0,3,3,2.583333333,-22,22,1,7,4,5.179245
32.56666667,1,8,46,0,0,4,3,-1,1,23,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.727,25.324,5,101,23,-23,0,0,0,0,0.75,0,0,0,0,1,0,0,0,0,0,0,0,-4,-3,0,23,-23,-1,-8,0,-3.648275
32.95,1,8,47,0,0,4,3,-1,2,24,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.879,4.853,1,132,23,-23,0.383333333,1,0,1,2.283333333,0,0,1,0,0,0,0,0,0,-1,0,0,-4,-3,-0.383333333,23,-23,-1,-8,-1,1.171162
33.55,1,8,48,0,0,4,3,-1,1,24,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.929,0.93,0,132,24,-24,0.983333333,2,0,0,0.383333333,0,0,0,1,0,0,0,0,0,0,0,0,-4,-3,-0.983333333,24,-24,-1,-8,-2,-5.109309
