match_id,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,server,serve_no,p1_points_won,p2_points_won,p1_ace,p2_ace,p1_winner,p2_winner,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,p1_trend,p2_trend,past_time,point_no_to_start,p1_place_ge,p1_place_le,last_time,serve_width_BC,serve_width_BW,serve_width_C,serve_width_W,serve_depth_NCTL,return_depth_ND,p1_break_pt*server,p2_break_pt*server,p1_place_ge*server,p1_place_le*server,p1_sets*server,p2_sets*server,p1_games*server,p2_games*server,past_time*server,p2_trend*server,p1_trend*server,set_no*server,game_no*server,point_no_to_start*server,factor
2023-wimbledon-1301,0,1,1,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,7.84,2,95,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-4.315244
2023-wimbledon-1301,0.633333333,1,1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,7.84,2,95,0,0,0.633333333,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0.633333333,0,0,1,1,1,3.663135
2023-wimbledon-1301,1.016666667,1,1,3,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.253,7.094,1,118,1,-1,1.016666667,2,0,0,0.633333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.016666667,-1,1,1,1,2,-4.645049
2023-wimbledon-1301,1.516666667,1,1,4,0,0,0,0,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.8,19.808,4,120,1,-1,1.516666667,3,0,1,0.383333333,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.516666667,-1,1,1,1,3,4.196409
2023-wimbledon-1301,2.35,1,1,5,0,0,0,0,1,1,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.108,75.631,13,130,2,-2,2.35,4,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.35,-2,2,1,1,4,4.970301
2023-wimbledon-1301,2.833333333,1,1,6,0,0,0,0,1,2,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649,0.813,1,112,3,-3,2.833333333,5,1,0,0.833333333,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2.833333333,-3,3,1,1,5,-3.645954
2023-wimbledon-1301,3.55,1,1,7,0,0,0,0,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.249,2,97,3,-3,3.55,6,0,0,0.483333333,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3.55,-3,3,1,1,6,4.123788
2023-wimbledon-1301,4.016666667,1,1,8,0,0,0,0,1,2,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.817,17.821,1,109,4,-4,4.016666667,7,1,0,0.716666667,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4.016666667,-4,4,1,1,7,-6.008893
2023-wimbledon-1301,4.8,1,1,9,0,0,0,0,1,1,5,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.503,18.067,6,105,4,-4,4.8,8,0,0,0.466666667,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4.8,-4,4,1,1,8,4.224612
2023-wimbledon-1301,5.533333333,1,1,10,0,0,0,0,1,1,6,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34.489,24.594,7,128,5,-5,5.533333333,9,1,0,0.783333333,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.533333333,-5,5,1,1,9,7.444492
2023-wimbledon-1301,7.083333333,1,2,11,0,0,1,0,-1,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.235,27.427,5,110,6,-6,0,0,0,0,0.733333333,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,6,-6,-1,-2,0,-5.098412
2023-wimbledon-1301,7.466666667,1,2,12,0,0,1,0,-1,1,7,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.785,4.915,1,112,6,-6,0.383333333,1,0,1,1.55,0,0,0,1,0,0,0,0,0,-1,0,0,-1,0,-0.383333333,6,-6,-1,-2,-1,3.956457
