p2_points_won,p2_trend*server,p1_points_won,game_no*server,p1_place_ge*server,p2_games,elapsed_time,p1_games*server,p2_trend,return_depth_ND,point_no_to_start*server,server,rally_count,point_no_to_start,serve_width_BW,p1_trend,p2_games*server,p2_distance_run,speed_mph,p1_distance_run,point_no,game_no,p2_winner,serve_depth_NCTL,p1_games,past_time,past_time*server,p1_unf_err,last_time,serve_no,set_no*server,p1_trend*server,factor
1,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,7.84,95,6,1,1,0,1,0,0,0,1,0,2,1,0,-4.315244
1,0,1,1,0,0,0.633333333,0,0,1,1,1,2,1,0,0,0,7.84,95,6,2,1,0,1,0,0.633333333,0.633333333,1,0,1,1,0,3.663135
2,-1,1,1,0,0,1.016666667,0,-1,1,2,1,1,2,0,1,0,7.094,118,5.253,3,1,0,0,0,1.016666667,1.016666667,0,0.633333333,1,1,1,-4.645049
2,-1,2,1,0,0,1.516666667,0,-1,0,3,1,4,3,0,1,0,19.808,120,13.8,4,1,0,1,0,1.516666667,1.516666667,1,0.383333333,1,1,1,4.196409
2,-2,3,1,0,0,2.35,0,-2,0,4,1,13,4,1,2,0,75.631,130,51.108,5,1,0,0,0,2.35,2.35,0,0.5,1,1,2,4.970301
3,-3,3,1,1,0,2.833333333,0,-3,0,5,1,1,5,0,3,0,0.813,112,0.649,6,1,0,1,0,2.833333333,2.833333333,0,0.833333333,2,1,3,-3.645954
3,-3,4,1,0,0,3.55,0,-3,1,6,1,2,6,1,3,0,4.249,97,5.291,7,1,0,1,0,3.55,3.55,0,0.483333333,1,1,3,4.123788
4,-4,4,1,1,0,4.016666667,0,-4,0,7,1,1,7,0,4,0,17.821,109,6.817,8,1,0,0,0,4.016666667,4.016666667,0,0.716666667,2,1,4,-6.008893
4,-4,5,1,0,0,4.8,0,-4,1,8,1,6,8,0,4,0,18.067,105,17.503,9,1,1,1,0,4.8,4.8,0,0.466666667,1,1,4,4.224612
4,-5,6,1,1,0,5.533333333,0,-5,0,9,1,7,9,0,5,0,24.594,128,34.489,10,1,0,0,0,5.533333333,5.533333333,0,0.783333333,1,1,5,7.444492
5,-6,6,2,0,0,7.083333333,1,-6,1,0,1,5,0,0,6,0,27.427,110,21.235,11,2,0,1,1,0,0,0,0.733333333,1,1,6,-5.098412
5,-6,7,2,0,0,7.466666667,1,-6,0,1,1,1,1,0,6,0,4.915,112,5.785,12,2,1,0,1,0.383333333,0.383333333,0,1.55,1,1,6,3.956457
5,-7,8,2,0,0,8.1,1,-7,0,2,1,4,2,0,7,0,18.244,130,19.744,13,2,0,1,1,1.016666667,1.016666667,0,0.383333333,1,1,7,3.229356
6,-8,8,2,1,0,8.683333333,1,-8,0,3,1,4,3,0,8,0,18.626,120,26.013,14,2,0,1,1,1.6,1.6,0,0.633333333,1,1,8,-9.88038
