日期编号,订单编号,上车站序,上车站点名称,上车时间,下车站序,下车站点名称,下车时间
1,1,43,BR,20191002101901,47,BV,20191002102855
1,2,1,AB,20191002091001,15,AP,20191002095435
1,3,2,AC,20191002113101,4,AE,20191002113515
1,4,11,AL,20191002210701,29,BD,20191002213334
1,5,7,AH,20191002162501,46,BU,20191002173559
1,6,36,BK,20191002115901,44,BS,20191002121739
1,7,3,AD,20191002093701,28,BC,20191002102551
1,8,1,AB,20191002074901,26,BA,20191002083659
1,9,38,BM,20191002082901,43,BR,20191002083941
1,10,2,AC,20191002134001,39,BN,20191002145334
1,11,8,AI,20191002093201,34,BI,20191002102902
1,12,1,AB,20191002122301,38,BM,20191002132950
1,13,7,AH,20191002092801,29,BD,20191002101914
1,14,5,AF,20191002110901,23,AX,20191002114841
1,15,5,AF,20191002124901,47,BV,20191002140529
1,16,12,AM,20191002175801,15,AP,20191002180204
1,17,11,AL,20191002145001,12,AM,20191002145209
1,18,36,BK,20191002084801,46,BU,20191002090752
1,19,18,AS,20191002171501,24,AY,20191002172447
1,20,26,BA,20191002200301,47,BV,20191002204156
1,21,11,AL,20191002175501,36,BK,20191002183849
1,22,1,AB,20191002122501,12,AM,20191002124702
1,23,8,AI,20191002141001,26,BA,20191002143743
1,24,3,AD,20191002151101,45,BT,20191002164233
1,25,11,AL,20191002090201,43,BR,20191002100317
1,26,38,BM,20191002123801,46,BU,20191002125358
1,27,7,AH,20191002142801,34,BI,20191002151717
1,28,4,AE,20191002110601,44,BS,20191002122803
1,29,3,AD,20191002144801,47,BV,20191002160746
1,30,1,AB,20191002084701,46,BU,20191002102239
1,31,8,AI,20191002162901,32,BG,20191002170801
1,32,15,AP,20191002180401,28,BC,20191002182318
1,33,2,AC,20191002135701,32,BG,20191002144956
1,34,8,AI,20191002133301,46,BU,20191002144606
1,35,2,AC,20191002143201,4,AE,20191002143557
1,36,17,AR,20191002185401,31,BF,20191002191515
1,37,18,AS,20191002171501,24,AY,20191002172445
1,38,11,AL,20191002181701,48,BW,20191002193043
1,39,10,AK,20191002083201,45,BT,20191002094034
1,40,1,AB,20191002102201,17,AR,20191002110153
1,41,2,AC,20191002101101,27,BB,20191002110016
1,42,3,AD,20191002083901,43,BR,20191002100239
1,43,2,AC,20191002093601,4,AE,20191002093955
