日期编号,订单编号,上车站序,上车站点名称,上车时间,下车站序,下车站点名称,下车时间
1,623,1,AB,241,14,AO,2004
1,912,1,AB,301,33,BH,3777
1,890,2,AC,301,33,BH,3769
1,621,2,AC,481,20,AU,2346
1,1747,2,AC,481,9,AJ,1348
1,1666,2,AC,481,32,BG,3624
1,2085,2,AC,481,7,AH,1039
1,1956,4,AE,721,34,BI,3824
1,1851,4,AE,721,27,BB,3306
1,1982,4,AE,721,7,AH,1093
1,611,4,AE,721,18,AS,2181
1,2753,6,AG,961,24,AY,2659
1,350,6,AG,961,35,BJ,3950
1,1490,7,AH,1081,43,BR,5082
1,1477,7,AH,1141,30,BE,3387
1,2342,7,AH,1141,33,BH,3767
1,1560,8,AI,1201,34,BI,3817
1,2555,8,AI,1201,42,BQ,5006
1,1455,1,AB,1201,45,BT,5738
1,1023,8,AI,1201,42,BQ,5032
1,501,8,AI,1201,27,BB,3243
1,199,1,AB,1201,36,BK,4457
1,2330,2,AC,1261,7,AH,1904
1,2055,8,AI,1261,42,BQ,5025
1,535,8,AI,1261,31,BF,3399
1,2205,2,AC,1261,17,AR,2744
1,1660,5,AF,1561,12,AM,2369
1,2122,6,AG,1681,34,BI,4177
1,1809,8,AI,1981,34,BI,4102
1,1297,15,AP,2041,33,BH,3765
1,2060,10,AK,2161,35,BJ,4307
1,141,10,AK,2161,36,BK,4400
1,2552,2,AC,2341,34,BI,5545
1,522,2,AC,2341,45,BT,7015
1,601,2,AC,2341,8,AI,3047
1,1822,2,AC,2341,14,AO,3819
1,472,3,AD,2461,23,AX,4586
1,1182,4,AE,2521,10,AK,3233
1,263,25,AZ,2761,36,BK,3986
1,384,25,AZ,2761,43,BR,5149
1,806,7,AH,2941,27,BB,4924
1,1955,7,AH,2941,43,BR,6769
1,426,1,AB,2941,39,BN,7304
1,1620,1,AB,2941,3,AD,3307
1,2223,1,AB,2941,7,AH,3874
1,1459,1,AB,2941,3,AD,3327
1,1039,27,BB,3061,33,BH,3793
1,1431,2,AC,3241,7,AH,3865
1,2298,3,AD,3301,43,BR,8027
1,1800,11,AL,3361,35,BJ,5750
1,1755,11,AL,3361,34,BI,5534
1,2004,4,AE,3361,38,BM,7188
1,1397,11,AL,3361,13,AN,3627
1,2235,12,AM,3421,13,AN,3643
1,517,12,AM,3421,13,AN,3629
1,1794,5,AF,3541,12,AM,4525
1,1253,5,AF,3541,43,BR,7915
1,68,31,BF,3541,42,BQ,5076
