站点序号,站点名称,站点经度,站点纬度,站点间距
0,AA,116.633847,39.91076,786
1,AB,116.6336,39.90609,983
2,AC,116.645,39.90669,872
3,AD,116.65564,39.9077,437
4,AE,116.6579,39.90522,662
5,AF,116.65715,39.89968,578
6,AG,116.65664,39.89452,865
7,AH,116.66133,39.88992,878
8,AI,116.66818,39.88432,1000
9,AJ,116.67614,39.87786,472
10,AK,116.67862,39.87502,1100
11,AL,116.68856,39.87154,975
12,AM,116.6991,39.86876,897
13,AN,116.70883,39.86617,392
14,AO,116.71279,39.86517,865
15,AP,116.72166,39.86286,568
16,AQ,116.72765,39.8613,514
17,AR,116.73319,39.85983,1100
18,AS,116.7446,39.85682,797
19,AT,116.75072,39.85341,1200
20,AU,116.76074,39.84797,1200
21,AV,116.77092,39.84277,1300
22,AW,116.77785,39.83358,455
23,AX,116.77992,39.83039,820
24,AY,116.78035,39.82353,371
25,AZ,116.77917,39.8204,1600
26,BA,116.79184,39.8151,1100
27,BB,116.79638,39.81524,907
28,BC,116.80538,39.81425,1000
29,BD,116.81663,39.81194,886
30,BE,116.82843,39.81151,1200
31,BF,116.84172,39.81399,1100
32,BG,116.85682,39.81422,871
33,BH,116.86902,39.8141,768
34,BI,116.87778,39.81278,978
35,BJ,116.89074,39.81242,1800
36,BK,116.90588,39.80537,2000
37,BL,116.92053,39.79482,1500
38,BM,116.93945,39.79389,2100
39,BN,116.95361,39.78882,1500
40,BO,116.95786,39.76573,1100
41,BP,116.96606,39.76372,1000
42,BQ,116.97935,39.76349,430
43,BR,116.98916,39.76338,675
44,BS,116.9943,39.76368,493
45,BT,117.00059,39.76408,426
46,BU,117.00633,39.76441,1200
47,BV,117.02159,39.76531,671
48,BW,117.02974,39.76581,0
