Bus Number,Total Passengers,Total Utilization Rate
0,0,0.0
1,37,0.14770101437355584
2,11,0.0483428308463557
3,24,0.07543766889907179
4,35,0.16659690400657973
5,29,0.13569914424470292
6,44,0.19731891082129008
7,35,0.20807680256922412
8,59,0.3110702326401128
9,59,0.2498296322406297
10,69,0.350687835350331
11,67,0.4229276818235225
12,99,0.5779004131907729
13,62,0.2553107742920926
14,75,0.37919628519954574
15,51,0.2249033114009321
16,62,0.3177534954764422
17,52,0.22837186190420242
18,55,0.24352602514393135
19,56,0.22680624094309323
20,62,0.2668382583323542
21,37,0.15151837817726077
22,30,0.10508288293580856
23,43,0.188617181686445
24,36,0.19602915834410367
25,35,0.17119365135315087
26,34,0.18435162338933928
27,23,0.11627207926996436
28,25,0.14072890964634
29,37,0.13681583636862102
30,65,0.325314054361023
31,32,0.17152924646535853
32,51,0.2975698116163396
33,31,0.14456756941996632
34,49,0.24794334782438418
35,41,0.20903487643441826
36,50,0.2183196745388321
37,36,0.18841474758156113
38,110,0.5685367955195237
39,46,0.18957843770806412
40,30,0.15583631966474756
41,89,0.4164546860925077
42,23,0.14737472094935966
43,8,0.03278722633454745
44,107,0.5875362276269926
45,72,0.36303705009203785
46,71,0.3292834273293386
47,64,0.40672977127638743
48,53,0.3173033427329339
49,34,0.15416764579172057
50,42,0.199177290173501
51,41,0.17290026632201463
52,29,0.12953555203070533
53,35,0.13833445932714525
54,28,0.15364307954411938
55,23,0.07226310069322053
56,22,0.07093907883914932
57,25,0.119569527670074
58,45,0.19877976540163708
59,25,0.11715059922453297
60,37,0.0
