Station ID,Total Boarding Passengers,Total Alighting Passengers,Average Utilization Rate
0,0.0,0.0,0.0
1,211.0,0.0,0.1082051282051282
2,514.0,1.0,0.3712820512820513
3,103.0,14.0,0.41692307692307695
4,153.0,35.0,0.4774358974358974
5,229.0,19.0,0.5851282051282051
6,59.0,18.0,0.6061538461538463
7,150.0,59.0,0.6528205128205129
8,277.0,75.0,0.7564102564102565
9,97.0,29.0,0.7912820512820512
10,147.0,30.0,0.8512820512820514
11,164.0,36.0,0.9169230769230771
12,57.0,139.0,0.8748717948717949
13,8.0,17.0,0.8702564102564103
14,3.0,5.0,0.8692307692307694
15,26.0,25.0,0.8697435897435898
16,1.0,8.0,0.8661538461538463
17,12.0,22.0,0.8610256410256412
18,17.0,51.0,0.8435897435897436
19,14.0,91.0,0.8041025641025641
20,3.0,14.0,0.7984615384615386
21,10.0,31.0,0.7876923076923077
22,4.0,11.0,0.7841025641025642
23,9.0,10.0,0.7835897435897436
24,15.0,27.0,0.7774358974358974
25,36.0,15.0,0.7882051282051282
26,5.0,58.0,0.7610256410256411
27,6.0,51.0,0.737948717948718
28,7.0,38.0,0.7220512820512821
29,2.0,50.0,0.6974358974358975
30,15.0,64.0,0.6723076923076924
31,90.0,91.0,0.6717948717948717
32,10.0,43.0,0.6548717948717948
33,7.0,63.0,0.6261538461538461
34,57.0,179.0,0.5635897435897435
35,9.0,61.0,0.536923076923077
36,16.0,86.0,0.5010256410256411
37,8.0,59.0,0.4748717948717948
38,27.0,39.0,0.4687179487179487
39,12.0,37.0,0.45589743589743587
40,2.0,15.0,0.4492307692307692
41,22.0,25.0,0.44769230769230767
42,12.0,101.0,0.4020512820512821
43,28.0,247.0,0.2897435897435897
44,11.0,129.0,0.2292307692307692
45,2.0,87.0,0.18564102564102564
46,0.0,148.0,0.10974358974358973
47,1.0,135.0,0.041025641025641026
48,0.0,0.0,0.0
