bus_id,arrival_time,passenger_count_before,boarding_count,alighting_count,departure_time,residence_time,passenger_count_after,utilization_rate
0.0,728.9333333333333,0.0,0.0,0.0,728.9333333333333,0.0,0.0,0.0
1.0,1661.5065773339609,8.0,0.0,0.0,1661.5065773339609,0.0,8.0,0.26666666666666666
2.0,2563.54809956937,13.0,0.0,0.0,2563.54809956937,0.0,13.0,0.43333333333333335
3.0,3449.124069131759,5.0,0.0,1.0,3450.5531945975586,1.4291254657996433,4.0,0.13333333333333333
4.0,4364.094350420613,10.0,0.0,0.0,4364.094350420613,0.0,10.0,0.3333333333333333
5.0,5259.363459491883,16.0,0.0,0.0,5259.363459491883,0.0,16.0,0.5333333333333333
6.0,6163.375727859126,16.0,0.0,0.0,6163.375727859126,0.0,16.0,0.5333333333333333
7.0,7085.024050012556,24.0,0.0,0.0,7085.024050012556,0.0,24.0,0.8
8.0,7990.158019283601,28.0,0.0,1.0,7991.122209759976,0.9641904763748244,27.0,0.9
9.0,8925.05187095986,19.0,0.0,0.0,8925.05187095986,0.0,19.0,0.6333333333333333
10.0,9815.676435093896,21.0,0.0,0.0,9815.676435093896,0.0,21.0,0.7
11.0,10704.03923083849,25.0,1.0,0.0,10706.860836112824,2.821605274333706,26.0,0.8666666666666667
12.0,11610.741795911314,24.0,0.0,0.0,11610.741795911314,0.0,24.0,0.8
13.0,12501.006581805223,26.0,0.0,2.0,12503.363636220092,2.357054414869708,24.0,0.8
14.0,13414.813925815508,23.0,0.0,0.0,13414.813925815508,0.0,23.0,0.7666666666666667
15.0,14319.958264867695,23.0,0.0,0.0,14319.958264867695,0.0,23.0,0.7666666666666667
16.0,15211.5924220355,20.0,0.0,0.0,15211.5924220355,0.0,20.0,0.6666666666666666
17.0,16115.48244672306,26.0,0.0,0.0,16115.48244672306,0.0,26.0,0.8666666666666667
18.0,17040.850820661555,25.0,0.0,0.0,17040.850820661555,0.0,25.0,0.8333333333333334
19.0,17924.635870632374,22.0,1.0,0.0,17925.867554217944,1.2316835855708632,23.0,0.7666666666666667
20.0,18820.742708309182,24.0,1.0,0.0,18823.192483120645,2.449774811462703,25.0,0.8333333333333334
21.0,19706.296777871295,26.0,0.0,1.0,19707.729581965385,1.4328040940890787,25.0,0.8333333333333334
22.0,20627.81456808975,27.0,0.0,0.0,20627.81456808975,0.0,27.0,0.9
23.0,21503.58054305575,27.0,0.0,0.0,21503.58054305575,0.0,27.0,0.9
24.0,22399.379002325204,24.0,1.0,0.0,22399.84181095986,0.46280863465653965,25.0,0.8333333333333334
25.0,23307.33488959486,30.0,0.0,0.0,23307.33488959486,0.0,30.0,1.0
26.0,24200.003103797277,20.0,0.0,0.0,24200.003103797277,0.0,20.0,0.6666666666666666
27.0,25097.373697818894,24.0,0.0,0.0,25097.373697818894,0.0,24.0,0.8
28.0,25989.601407372516,25.0,0.0,0.0,25989.601407372516,0.0,25.0,0.8333333333333334
29.0,26914.421981782292,26.0,0.0,0.0,26914.421981782292,0.0,26.0,0.8666666666666667
30.0,27824.0809814006,22.0,0.0,0.0,27824.0809814006,0.0,22.0,0.7333333333333333
31.0,28696.719995606745,25.0,0.0,0.0,28696.719995606745,0.0,25.0,0.8333333333333334
32.0,29582.069505327665,30.0,0.0,0.0,29582.069505327665,0.0,30.0,1.0
33.0,30500.770781829837,28.0,0.0,0.0,30500.770781829837,0.0,28.0,0.9333333333333333
34.0,31404.51202801851,26.0,0.0,0.0,31404.51202801851,0.0,26.0,0.8666666666666667
35.0,32303.671119337076,27.0,0.0,0.0,32303.671119337076,0.0,27.0,0.9
36.0,33228.70234488996,29.0,1.0,0.0,33231.429335962246,2.7269910722825443,30.0,1.0
37.0,34099.459709789,27.0,0.0,0.0,34099.459709789,0.0,27.0,0.9
38.0,35011.79846514557,21.0,0.0,0.0,35011.79846514557,0.0,21.0,0.7
39.0,35931.92898999259,30.0,0.0,0.0,35931.92898999259,0.0,30.0,1.0
40.0,36821.27405417999,29.0,1.0,0.0,36823.280885393244,2.006831213257101,30.0,1.0
41.0,37714.13458978296,26.0,0.0,0.0,37714.13458978296,0.0,26.0,0.8666666666666667
42.0,38601.816132914886,24.0,0.0,0.0,38601.816132914886,0.0,24.0,0.8
43.0,39487.84266674706,22.0,0.0,0.0,39487.84266674706,0.0,22.0,0.7333333333333333
44.0,40397.92883894597,26.0,0.0,0.0,40397.92883894597,0.0,26.0,0.8666666666666667
45.0,41300.67272384714,28.0,0.0,0.0,41300.67272384714,0.0,28.0,0.9333333333333333
46.0,42219.30283792783,26.0,0.0,0.0,42219.30283792783,0.0,26.0,0.8666666666666667
47.0,43098.16977994787,29.0,1.0,0.0,43101.39896374014,3.229183792267577,30.0,1.0
48.0,43993.192545038604,27.0,0.0,0.0,43993.192545038604,0.0,27.0,0.9
49.0,44906.36345030543,27.0,0.0,0.0,44906.36345030543,0.0,27.0,0.9
50.0,45828.41489896113,25.0,0.0,1.0,45829.95197457004,1.537075608910527,24.0,0.8
51.0,46703.43063050028,28.0,0.0,0.0,46703.43063050028,0.0,28.0,0.9333333333333333
52.0,47610.37426228388,27.0,0.0,0.0,47610.37426228388,0.0,27.0,0.9
53.0,48505.83223729217,24.0,0.0,0.0,48505.83223729217,0.0,24.0,0.8
54.0,49430.539275058974,26.0,2.0,0.0,49434.86146295894,4.322187899968412,28.0,0.9333333333333333
55.0,50305.96793087065,22.0,0.0,0.0,50305.96793087065,0.0,22.0,0.7333333333333333
56.0,51196.38267667118,29.0,0.0,0.0,51196.38267667118,0.0,29.0,0.9666666666666667
57.0,52088.66479665724,26.0,0.0,0.0,52088.66479665724,0.0,26.0,0.8666666666666667
58.0,52985.92242224802,25.0,0.0,0.0,52985.92242224802,0.0,25.0,0.8333333333333334
59.0,53892.8475391313,25.0,0.0,0.0,53892.8475391313,0.0,25.0,0.8333333333333334
60.0,54836.336440967614,21.0,0.0,0.0,54836.336440967614,0.0,21.0,0.7
61.0,55706.724341006724,25.0,0.0,4.0,55714.70462439548,7.980283388758835,21.0,0.7
62.0,56599.24683061369,24.0,0.0,0.0,56599.24683061369,0.0,24.0,0.8
63.0,57497.97284302579,23.0,0.0,0.0,57497.97284302579,0.0,23.0,0.7666666666666667
64.0,58381.45478190332,23.0,0.0,0.0,58381.45478190332,0.0,23.0,0.7666666666666667
